context,gold,pred0,pred1,pred2,pred3,pred4
"If you want to go , then eat anything that is put before you . Do n't ask questions to see if it is something you think is wrong to eat . But if <anteced> someone </anteced> tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think it is wrong , and it might cause a problem for",the person who told you that,them,you,them,you,you
"If you want to go , then eat anything that is put before you . Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food <anteced> was </anteced> offered to idols , '' then do n't eat it . That 's because some people think it is wrong , and it might cause a problem for the person who told you",that,it,it,that food,that food,it
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't <anteced> eat </anteced> it . That 's because some people think it is wrong , and it might cause a problem for the person who told you that . I do n't mean that you think",it,that,that,you,that,that
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think it is wrong , and <anteced> it </anteced> might cause a problem for the person who told you that . I do n't mean that you think",it,it,it,it,it,that
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think <anteced> it </anteced> is wrong , and it might cause a problem for the person who told you that . I do n't mean that you think",it,it,it,it,that food,that
"Do n't ask questions to see if it is something you think is wrong to eat . But if <anteced> someone </anteced> tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think it is wrong , and it might cause a problem for the person who told you that . I do n't mean that you think it is wrong . But",the other person,you,you,the person who told <anaphor>me,that person,this person
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think it is wrong , and it might cause a problem for <anteced> the person who told you that </anteced> . I do n't mean that you think it is wrong . But",the other person,I,you,that person,it,it
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't <anteced> eat </anteced> it . That 's because some people think it is wrong , and it might cause a problem for the person who told you that . I do n't mean that you think it is wrong . But the other person might think",it,it,it,it,that,that
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think it is wrong , and it might cause a problem for the person who told you that . I do n't mean that you think <anteced> it </anteced> is wrong . But the other person might think",it,it,it,it,it,it
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think it is wrong , and <anteced> it </anteced> might cause a problem for the person who told you that . I do n't mean that you think it is wrong . But the other person might think",it,that,it,that,it,it
"Do n't ask questions to see if it is something you think is wrong to eat . But if someone tells you , `` That food was offered to idols , '' then do n't eat it . That 's because some people think <anteced> it </anteced> is wrong , and it might cause a problem for the person who told you that . I do n't mean that you think it is wrong . But the other person might think",it,that,it,it,it,it
